Microorganism,Code,Library,Type,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Staphylococcus hominis,44827007,SNOMED,bacteria,,,,,,,,,,345,,
Staphylococcus hominis hominis,432505008,SNOMED,bacteria,,,,,,,,,,346,,
Staphylococcus lugdunensis,103494005,SNOMED,bacteria,,,,,,,,,,347,,
Staphylococcus Pettenkoferi,428731005,SNOMED,bacteria,,,,,,,,,,348,,
Staphylococcus saprophyticus,19743000,SNOMED,bacteria,,,,,,,,,,349,,
Staphylococcus simulans,52122005,SNOMED,bacteria,,,,,,,,,,350,,
Staphylococcus warneri,63550006,SNOMED,bacteria,,,,,,,,,,351,,
Stenotrophomonas,115656007,SNOMED,bacteria,,,,,,,,,,352,,
Stenotrophomonas maltofilia,113697002,SNOMED,bacteria,,,,,,,,,,353,,
Estreptococo,58800005,SNOMED,bacteria,,,,,,,,,,354,,
Estreptococcus alfa-hemolítico,60631002,SNOMED,bacteria,,,,,,,,,,355,,
Estreptococcus anginosus,44304009,SNOMED,bacteria,,,,,,,,,,356,,
Grupo estreptococcus anginosus,415597009,SNOMED,bacteria,,,,,,,,,,357,,
Estreptococcus beta-hemolítico,53490009,SNOMED,bacteria,,,,,,,,,,358,,
Estreptococcus constellatus,76199005,SNOMED,bacteria,,,,,,,,,,359,,
Estreptococcus disgalactiae,40812000,SNOMED,bacteria,,,,,,,,,,360,,
Estreptococcus galolyticus,113985000,SNOMED,bacteria,,,,,,,,,,361,,
Estreptococcus intermedius,62170002,SNOMED,bacteria,,,,,,,,,,362,,
Mitis estreptococo,57997003,SNOMED,bacteria,,,,,,,,,,363,,
Estreptococcus oralis,19870004,SNOMED,bacteria,,,,,,,,,,364,,
Estreptococcus parasanguinis,113990002,SNOMED,bacteria,,,,,,,,,,365,,
Estreptococcus pneumoniae,9861002,SNOMED,bacteria,,,,,,,,,,366,,
Estreptococcus pyogenes,80166006,SNOMED,bacteria,,,,,,,,,,367,,
Estreptococcus salivarius,39888004,SNOMED,bacteria,,,,,,,,,,368,,
Estreptococcus sanguinis,113993000,SNOMED,bacteria,,,,,,,,,,369,,
Estreptococcus viridans,31703004,SNOMED,bacteria,,,,,,,,,,370,,
Grupo de Streptococcus viridans,31703004,SNOMED,bacteria,,,,,,,,,,371,,
Strongyloides stercoralis,42625000,SNOMED,"parasite, helminth",,,,,,,,,,372,,
Taenia saginata,61085008,SNOMED,"parasite, helminth",,,,,,,,,,373,,
Taenia solio,17966003,SNOMED,"parasite, helminth",,,,,,,,,,374,,
Talaromyces Marneffei,71825007,SNOMED,fungi,,,,,,,,,,375,,
Togoviridae,129231002,SNOMED,virus,,,,,,,,,,376,,
Toxocara canis,88857009,SNOMED,"parasite, helminth",,,,,,,,,,377,,
Toxoplasma,61949005,SNOMED,"parasite, protozoa",,,,,,,,,,378,,
Toxoplasma gondii,4649006,SNOMED,"parasite, protozoa",,,,,,,,,,379,,
Trichinella espiral,16439004,SNOMED,"parasite, helminth",,,,,,,,,,380,,
Tricomonas,3764006,SNOMED,"parasite, protozoa",,,,,,,,,,381,,
Trichomonas vaginal,22417000,SNOMED,"parasite, protozoa",,,,,,,,,,382,,
Trichophyton,88578003,SNOMED,fungi,,,,,,,,,,383,,
Trichosporon asahii,243475001,SNOMED,fungi,,,,,,,,,,384,,
Trichuris Trichiura,5378007,SNOMED,"parasite, helminth",,,,,,,,,,385,,
Tripanosoma,40740003,SNOMED,"parasite, protozoa",,,,,,,,,,386,,
Trypanosoma brucei gambiense,20027006,SNOMED,"parasite, protozoa",,,,,,,,,,387,,
Trypanosoma brucei rhodesiense,79513002,SNOMED,"parasite, protozoa",,,,,,,,,,388,,
Trypanosoma Cruzi,88274000,SNOMED,"parasite, protozoa",,,,,,,,,,389,,
Enterococcus resistente a la vancomicina (VRE),113727004,SNOMED,bacteria,,,,,,,,,,390,,
Vibrio cholerae,75953000,SNOMED,bacteria,,,,,,,,,,391,,
Vibrio parahaemolyticus,11736008,SNOMED,bacteria,,,,,,,,,,392,,
Vibrio vulnificus,55905000,SNOMED,bacteria,,,,,,,,,,393,,
Virus del Nilo Occidental,57311007,SNOMED,virus,,,,,,,,,,394,,
Wuchereria Bancrofti,84925004,SNOMED,"parasite, helminth",,,,,,,,,,395,,
Levadura,62093005,SNOMED,fungi,,,,,,,,,,396,,
Yersinia pestis,54365000,SNOMED,bacteria,,,,,,,,,,397,,
Virus del Zika,50471002,SNOMED,virus,,,,,,,,,,398,,
