Variable,Form,Section,Question,Answer Options,Definition,Completion Guideline,needs_manual
test_marker,patógenos,PRUEBAS DE PATÓGENOS: Resultados de todo tipo de pruebas de muestras y patógenos.,Marcador de laboratorio,"1, NS1 Ag | 2, IgG | 3, IgM | 4, Carga viral / serotipo | 5, No aplicable | 99, Desconocido ",Se refiere al marcador de laboratorio utilizado para detectar el patógeno.,Seleccione la opción más adecuada que represente el marcador de laboratorio utilizado para detectar el patógeno.,
test_denguetyp,patógenos,PRUEBAS DE PATÓGENOS: Resultados de todo tipo de pruebas de muestras y patógenos.,Tipo de virus del dengue,"1, DENV1 | 2, DENV2 | 3, DENV3 | 4, DENV4","Se refiere a la etiqueta del serotipo de la especie viral del virus del dengue, que es un virus ARN monocatenario de sentido positivo de la familia Flaviviridae y el género Flavivirus, detectado mediante la prueba de PCR.",Seleccione la opción más adecuada que represente la etiqueta del serotipo de la especie viral del virus del dengue detectada mediante la prueba de PCR.,
test_vload,patógenos,PRUEBAS DE PATÓGENOS: Resultados de todo tipo de pruebas de muestras y patógenos.,Carga viral (copias/ml),,Se refiere a la cantidad de virus en un volumen determinado de líquido.,Indique la carga viral. ,
diagn_additional_list,resultado,DIAGNÓSTICO,Diagnóstico adicional,,Se refiere a los diagnósticos adicionales que estaban presentes en el momento en que el paciente solicitó atención médica o que se desarrollaron durante la hospitalización.,Seleccione la opción más adecuada que indique el diagnóstico.,
diagn_additional2_list,resultado,DIAGNÓSTICO,Diagnóstico adicional,,Se refiere a los diagnósticos adicionales que estaban presentes en el momento en que el paciente solicitó atención médica o que se desarrollaron durante la hospitalización.,Seleccione la opción más adecuada que indique el diagnóstico.,
diagn_denguetyp,resultado,DIAGNÓSTICO,Si algún diagnóstico es dengue: tipo,"1, DENV1 | 2, DENV2 | 3, DENV3 | 4, DENV4","Se refiere a la etiqueta del serotipo de la especie viral del virus del dengue, que es un virus ARN monocatenario de sentido positivo de la familia Flaviviridae y el género Flavivirus, detectado mediante la prueba PCR.",Seleccione la opción más adecuada que represente la etiqueta del serotipo de la especie viral del virus del dengue detectada mediante la prueba de PCR.,
diagn_dengueclass,resultado,DIAGNÓSTICO,¿Cuál fue la clasificación final del dengue?,"1, Dengue sin complicaciones | 2, Dengue con signos de alerta | 3, Dengue grave",Se refiere a la clasificación del dengue de la Organización Mundial de la Salud de 2009. ,Seleccione la opción más adecuada que corresponda a la clasificación final del dengue (basada en la clasificación del dengue de la Organización Mundial de la Salud de 2009).,
diagn_dengueclass_dss,resultado,DIAGNÓSTICO,Síndrome de shock por dengue,"1, Sí | 0, No | 99, Desconocido",El síndrome de shock por dengue (DSS) se refiere a una fuga plasmática grave que provoca shock y/o acumulación de líquido con dificultad respiratoria.,Indique «Sí» si el paciente presenta esta complicación del dengue grave que experimentó durante su ingreso.,
diagn_dengueclass_sevbl,resultado,DIAGNÓSTICO,Hemorragia grave,"1, Sí | 0, No | 99, Desconocido",Se refiere a una hemorragia grave según la evaluación del médico.,Indique «Sí» si el paciente presenta esta complicación del dengue grave que experimentó durante su ingreso.,
diagn_dengueclass_sevorgimp,resultado,DIAGNÓSTICO,Deterioro orgánico grave,"1, Sí | 0, No | 99, Desconocido","Se refiere a una afectación grave de los órganos, que puede incluir: la afectación hepática se indica por un nivel de AST o ALT superior o igual a 1000 UI/L, la afectación del sistema nervioso se evidencia por alteración de la conciencia.",Indique «Sí» si el paciente presenta esta complicación del dengue grave que experimentó durante su ingreso.,
