Form,Section,Variable,Question,Answer Options,Definition,Completion Guideline,
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_ageusia,Loss of taste / ageusia,"1, Yes | 0, No | 99, Unknown",This refers to patient reported and/or clinician-diagnosed loss of taste function of the tongue.,"Indicate 'Yes', if the patient experienced this at any time during the date of assessment.",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_dizzy,Feeling dizzy / faint,"1, Yes | 0, No | 99, Unknown","This refers to the subjective feeling of light-headedness or dizziness which may precede an episode of syncope or a sensation of unsteadiness, spinning or rocking.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_myalgia,Muscle aches / myalgia,"1, Yes | 0, No | 99, Unknown",Defined as pain localised to a muscle or group of muscles.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_arthralgia,Joint pain / arthralgia,"1, Yes | 0, No | 99, Unknown","Defined as a sensation of marked discomfort or pain localised to one or more joints, including small and big joints.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_oedema,Oedema,"1, Yes | 0, No | 99, Unknown",This refers to accumulation of an excessive amount of fluid in cells or intercellular tissues.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_oedemasite,Oedema site(s),"1, Feet | 2, Ankle | 3, Legs (below knee) | 4, Legs (above knees)  | 5, Scrotum/Labia | 6, Sacrum | 7, Abdomen | 8, Neck | 9, Face | 88, Other | 99, Unknown",This refers to the location of the odema.,"If 'Yes', specify the location of the edema. Select all that apply.",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_oedemasite_oth,If other: Specify oedema site(s),,This refers to the location of the odema.,"If 'Other', specify the site of oedema",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adasses_lymph,Lymphadenopathy,"1, Yes-painful | 2, Yes-not painful | 0, No | 99, Unknown",Defined as a clinical finding of abnormal enlargement of the lymph nodes. ,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adasses_lymphspec,Specify lymphadenopathy site(s),"1, Axillary (arm pits) | 2, Cervical (neck)| 3, Inguinal (groin) | 88, Other | 99, Unknown",This refers to the location in which lymphadenopathy was identified.,Select the most appropriate option(s) corresponding to the location of lymphadenopathy. ,
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adasses_lymphoth,If other: Specify lymphadenopathy site(s),,This refers to the location in which lymphadenopathy was identified.,"If 'Other', write the location in which lymphadenopathy was identified.",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_skinrash,Skin rash,,"Defined as any change in the skin which affects its appearance or texture. A rash may be localized to one part of the body or affect all the skin. Rashes may cause the skin to change colour, itch, become warm, bumpy, dry, cracked, or blistered, swell and may be painful.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_skinrash_yn,Skin rash,"1, Yes | 0, No | 99, Unknown","Defined as any change in the skin which affects its appearance or texture. A rash may be localized to one part of the body or affect all the skin. Rashes may cause the skin to change colour, itch, become warm, bumpy, dry, cracked, or blistered, swell and may be painful.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_skinrash_loc,Site where rash first occurred,"1, Skin, genital | 2, Skin, non-genital | 3, Mucosa, genital | 4, Mucosa, non-genital | 5, Mouth | 6, Perianal skin | 7, Rectum | 99, Unknown| 88, Other",This refers to the location where the rash first occurred. ,Select the most appropriate option(s) corresponding to the location where the rash first occurred.,
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_skinrash_locoth,If other: Specify first rash other location,,This refers to the location where the rash first occurred. ,"If ""other', Specify the first location a relevant rash developed.",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_skinrash_date,Date first rash was observed by patient,,This refers to the date the patient reports to have first identified the rash. ,Write the date the patient reports to have first identified the rash (use the format DD/MM/YYYY).,
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_paresthesia,Skin paresthesia,"1, Yes | 0, No | 99, Unknown","This refers to percieved cutaneous sensations (e.g., cold, warmth, tingling, pressure, etc.) that are experienced spontaneously in the absence of stimulation.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_bruise,Bruising,"1, Yes | 0, No | 99, Unknown","This refers to spontaneous extravasation of blood into the subcutaneous space, also referred to as spontaneous ecchymoses.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_alopecia,Alopecia,"1, Yes | 0, No | 99, Unknown",This refers to absence of hair (nonscarring hair loss) from areas where it is normally present.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_dryskin,Dry skin,"1, Yes | 0, No | 99, Unknown","This refers to skin characterized by the lack of natural or normal moisture resulting from inadequate hydrolipids in the skin, also called xerosis cutis.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_oralulcer,Oral ulcers,"1, Yes | 0, No | 99, Unknown","This refers to recurrent episodes of ulceration of the oral mucosa (recurrent oral aphthae), typically presenting as painful, sharply circumscribed fibrin-covered mucosal defects with a h","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_skinchange,Changes in skin texture,"1, Yes | 0, No | 99, Unknown","This refers to alterations in the surface appearance and feel of the skin, such as roughness, unevenness, or the presence of bumps.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_skinpallor,Skin pallor,"1, Yes | 0, No | 99, Unknown",This refers to unnatural pale appearance of the skin.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_pruritus,Itch / pruritus,"1, Yes | 0, No | 99, Unknown",Defined as an unpleasant or intense itching sensation that produces the urge to rub or scratch the skin to obtain relief. Itching is an irritating sensation that makes you want to scratch your skin.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_mobilchg,Change in mobility from baseline,"1, Yes | 0, No | 99, Unknown",This refers to the patient's ability to walk or mobilise. ,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_mobile,Mobility status,"1, Fully ambulant | 2, Ambulant, but with some assistance | 3, Bedridden",This refers to the patient's ability to walk or mobilise. ,Indicate the patient's mobility status at the time of presentation. ,
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_contcry,Continuous crying,"1, Yes | 0, No | 99, Unknown","This refers to inconsolable and excessive crying in a newborn or infant, usually defined as crying for more than three hours a day, at least three days a week, for more than three weeks","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_sleepmore,Sleeping more than usual / lethargic / sluggish / listlessness,"1, Yes | 0, No | 99, Unknown","This refers to excessive sleepiness during the daytime / marked by drowsiness and an unusual lack of energy and mental alertness / infant having little energy, is drowsy, or sleeps more than usual","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_hypotonia,Decreased tone / hypotonia,"1, Yes | 0, No | 99, Unknown",This refers to generalized muscular hypotonia (abnormally low muscle tone).,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_polydipsia,Increased thirst (Polydipsia) ,"1, Yes | 0, No | 99, Unknown",This refers to excessive thirst,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_irregmenstruation,Changes in menstruation (Irregular menstruation),"1, Yes | 0, No | 99, Unknown","This refers to any deviations from the normal process; e.g. delayed, difficult, profuse, scanty, unusual bleeding, etc.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adasses_mastitis,Mastitis,"1, Yes | 0, No | 99, Unknown","Defined as a inflammation of the breast, with or without accompanying infection","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adasses_ftt,Failure to thrive,"1, Yes | 0, No | 99, Unknown","This refers to less than normal weight gain in an infant or child, which may include poor linear and head growth.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adasses_bacsi_yn,Bacterial super-infection,"1, Yes | 0, No | 99, Unknown",Defined as a physician-diagnosed secondary bacterial infection that occurs during an existing infection or immediately following an earlier infection.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adasses_bacsi_spec,Specify bacterial super-infection.,"7, Deep tissue abscess | 1, Folliculitis / cellulitis | 2, Pneumonia | 3, Gastroenteritis | 4, CNS | 5, Bacteraemia | 6, Urinary tract | 88, Other",This refers to the type or location of the bacterial super-infection.,Select the most appropriate option(s) represents the type or location of the bacterial super-infection. ,
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adasses_bacsi_oth,If other: Specify bacterial super-infection,,"This refers to the other type(s) or location(s) of the bacterial super-infection, not specified above.","If 'Other', write the type or location of the bacterial super-infection. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_resp,Any respiratory signs and symptoms?,"1, Yes | 0, No | 99, Unknown",This refers to signs and symptoms relating to the respiratory system.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_cough,Cough,,"This refers to the presence of a cough and its characteristics. A productive cough refers to a cough accompanied by expectorated secretions (phlegm or mucus), while a non-productive cough refers to one which is not accompanied by expectorated secretions. Haemoptysis refers to the presence of blood or blood-streaked sputum from the respiratory tract.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_cough_yn,Cough,"1, Yes | 0, No | 99, Unknown","This refers to the presence of a cough and its characteristics. A productive cough refers to a cough accompanied by expectorated secretions (phlegm or mucus), while a non-productive cough refers to one which is not accompanied by expectorated secretions. Haemoptysis refers to the presence of blood or blood-streaked sputum from the respiratory tract.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_cough_prod,Productive,"1, Yes | 0, No | 99, Unknown",A productive cough refers to a cough accompanied by expectorated secretions (phlegm or mucus),"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_cough_hemop,Haemoptysis,"1, Yes | 0, No | 99, Unknown",Haemoptysis refers to the presence of blood or blood-streaked sputum from the respiratory tract.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_sorethroat,Sore throat,"1, Yes | 0, No | 99, Unknown","Defined as an unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) and perceived to originate in the throat.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_rhinorrhoe,Runny nose / rhinorrhoea,"1, Yes | 0, No | 99, Unknown",Defined as increased mucosal discharge of the nose.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_wheezing,Wheezing,"1, Yes | 0, No | 99, Unknown",Defined as a high-pitched breath sound resulting from a narrowing or obstruction of the small airway.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_respdistress,Respiratory distress,"1, Yes | 0, No | 99, Unknown",This refer to a pathological increase in the effort and frequency of breathing movements.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_shortbreat,Shortness of breath ,"1, Yes | 0, No | 99, Unknown",Defined as the uncomfortable sensation of difficult or laboured breathing that is out of proportion to the patient's level of physical activity.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_chestindrw,Lower chest wall indrawing,"1, Yes | 0, No | 99, Unknown","Defined as a clinical sign of respiratory distress, distinguished by the abnormal inward movement of the lower chest wall during inspiration. If only the soft tissue between the ribs or above the clavicle goes in when the patient breathes, this is not lower chest wall in-drawing.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_tachypnoea,Fast breathing (tachypnoea),"1, Yes | 0, No | 99, Unknown",Defined as an abnormal increase of rate of breathing.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_nasalflar,Nasal flaring,"1, Yes | 0, No | 99, Unknown","Defined as an enlargement of the nostrils during breathing; although there are many possible causes, it can be a sign of respiratory distress in young infants.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_grunt,Grunting,"1, Yes | 0, No | 99, Unknown","Defined as a noisy breathing sound that occurs when a person exhales, and is a sign of respiratory distress","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_apnoea,Apnoea,"1, Yes | 0, No | 99, Unknown",Defined as a transient absence in spontaneous respiration.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_nasalcongestion,Nasal congestion,"1, Yes | 0, No | 99, Unknown",Defined as reduced ability to pass air through the nasal cavity often leading to mouth breathing. ,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_rhinitis,Rhinitis,"1, Yes | 0, No | 99, Unknown","Defined as inflammation of the mucous membrane lining the nose, usually associated with nasal discharge.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adasses_phary,Pharyngitis ,"1, Yes | 0, No | 99, Unknown",This refers to the presence of inflammation of the throat..,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adasses_tonsil,Tonsillitis,"1, Yes | 0, No | 99, Unknown",This refers to the presence of inflammation of the tonsils.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adasses_parot,Parotitis,"1, Yes | 0, No | 99, Unknown",This refers to inflammation of the parotid glands.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_chestpain,Chest pain,"1, Yes | 0, No | 99, Unknown","Defined as the unpleasant, uncomfortable or painful sensation characterised by physical discomfort localised to the chest.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_cvs,Any cardiovascular signs and symptoms?,"1, Yes | 0, No | 99, Unknown",This refers to signs and symptoms relating to the cardiovascular system.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_palpitations,Palpitations,"1, Yes | 0, No | 99, Unknown",Refers to the unpleasant awareness of one's own heartbeat.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_tachycardia,Rapid heart beat / pulse (tachycardia) ,"1, Yes | 0, No | 99, Unknown",Refers to a rapid heartrate that exceeds the range of the normal resting heartrate for age. ,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_arrhythmia,Cardiac arrhythmia,"1, Yes | 0, No | 99, Unknown","Refers to an abnormality in rhythm of heartbeat, including rate, regularity, and/or sequence of activation abnormalities","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_git,Any gastrointestinal signs and symptoms?,"1, Yes | 0, No | 99, Unknown",This refers to signs and symptoms relating to the gastrointestinal system.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_abdpain,Abdominal pain,"1, Yes | 0, No | 99, Unknown","Defined as an unpleasant sensation of discomfort, distress or agony in the abdominal region.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_diarrhoea,Diarrhoea,"1, Yes | 0, No | 99, Unknown",Defined as abnormally increased frequency (usually defined as three or more) loose or liquid bowel movement per day (or more frequent passage than is normal for the individual).,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_consti,Constipation,"1, Yes | 0, No | 99, Unknown",Defined as irregular and infrequent or difficult evacuation of the bowels.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_vomit,Vomiting,"1, Yes | 0, No | 99, Unknown",Defined as the expulsion of the stomach or small intestines through the mouth.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_vomit2d,Persistent vomiting? (>=2/day),"1, Yes | 0, No | 99, Unknown",Persistent vomiting is defined here as vomiting two times or more per day.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_vomitbld,Haematemesis (vomiting blood)?,"1, Yes | 0, No | 99, Unknown",This refers to vomiting of blood.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_nausea,Nausea,"1, Yes | 0, No | 99, Unknown",Defined as the the unpleasant painless subjective feeling that one will imminently vomit.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_anorexia,Anorexia,"1, Yes | 0, No | 99, Unknown",Defined as lack or loss of appetite.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_exsal,Excessive salivation,"1, Yes | 0, No | 99, Unknown","Defined as excessive salivation or sialorrhea, is a symptom best assessed by the patient.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_diffswallow,Difficulty swallowing / dysphagia,"1, Yes | 0, No | 99, Unknown","Defined as difficulty swallowing food, liquids, or saliva.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_ascites,Ascites,"1, Yes | 0, No | 99, Unknown",Defined as an excessive accumulation or retention of free fluid within the peritoneal cavity.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_hepatomegally,Hepatomegaly,"1, Yes | 0, No | 99, Unknown",Defined as an pathological enlargement of the liver,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_faecalincont,Faecal incontinence,"1, Yes | 0, No | 99, Unknown","Defined as failure of voluntary control of the anal sphincters, with involuntary passage of feces and flatus.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_feedingdiff,Feeding difficulty,"1, Yes | 0, No | 99, Unknown","Defined as impaired ability to eat related to problems gathering food and getting ready to suck, chew, or swallow it.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_jaund,Jaundice,"1, Yes | 0, No | 99, Unknown","Defined as a clinical manifestation of hyperbilirubinemia, characterized by the yellowish staining of the skin, mucous membrane and/or sclera. ","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_melaena,Melaena (blood in faeces),"1, Yes | 0, No | 99, Unknown","This refers to abnormally dark tarry feces containing blood, usually from gastrointestinal bleeding.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_haematochezia,Haematochezia (fresh blood in stools),"1, Yes | 0, No | 99, Unknown",This refers to the presence of blood in stool. It is the result of gastrointestinal hemorrhage and it may be easily seen in stool or may be identified microscopically.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_rectalbleed,Rectal bleeding,"1, Yes | 0, No | 99, Unknown",This refers to bleeding originating from the rectal wall and discharged from the anus.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_renalgut,Any renal / genitourinary signs and symptoms?,"1, Yes | 0, No | 99, Unknown",This refers to signs and symptoms relating to the renal / genitourinary system.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_lowurine,Reduced urine output,"1, Yes | 0, No | 99, Unknown",This refers to a finding indicating that the urine production is less than 500 milliliters during a 24 hour period.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_urine,Urinary retention,"1, Yes | 0, No | 99, Unknown",Defined as the accumulation of urine within the bladder because of the inability to urinate.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",
