Microorganism,Code,Library,Type,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Serratia marcescens,33522002.0,SNOMED,bacteria,,,,,,,,,,325,,
Serratia ureilytica,450416004.0,SNOMED,bacteria,,,,,,,,,,326,,
Síndrome respiratorio agudo severo Coronavirus 2,1240000000000000.0,SNOMED,virus,,,,,,,,,,327,,
Coronavir relacionado con el síndrome respiratorio agudo,415360003.0,SNOMED,virus,,,,,,,,,,328,,
Fiebre severa con síndrome de trombocitopenia (SFTS),722401001.0,SNOMED,virus,,,,,,,,,,329,,
Shigella,77352002.0,SNOMED,bacteria,,,,,,,,,,330,,
Shigella Boydii,55462008.0,SNOMED,bacteria,,,,,,,,,,331,,
Shigella disenteriae,43612004.0,SNOMED,bacteria,,,,,,,,,,332,,
Shigella Flexneri,85729005.0,SNOMED,bacteria,,,,,,,,,,333,,
Shigella Sonnei,4298009.0,SNOMED,bacteria,,,,,,,,,,334,,
Simplexvirus (género),314797000.0,SNOMED,virus,,,,,,,,,,335,,
Sphingomonas paucimobilis,243350004.0,SNOMED,bacteria,,,,,,,,,,336,,
Esporothrix schenckii,32662000.0,SNOMED,fungi,,,,,,,,,,337,,
Estafilococo,65119002.0,SNOMED,bacteria,,,,,,,,,,338,,
Staphylococcus aureus,3092008.0,SNOMED,bacteria,,,,,,,,,,339,,
Staphylococcus capitis,40347003.0,SNOMED,bacteria,,,,,,,,,,340,,
Staphylococcus Caprae,76969000.0,SNOMED,bacteria,,,,,,,,,,341,,
Staphylococcus cohnii,66872005.0,SNOMED,bacteria,,,,,,,,,,342,,
Staphylococcus epidermidis,60875001.0,SNOMED,bacteria,,,,,,,,,,343,,
Estafilococos hemolítico,83452006.0,SNOMED,bacteria,,,,,,,,,,344,,
Staphylococcus hominis,44827007.0,SNOMED,bacteria,,,,,,,,,,345,,
Staphylococcus hominis hominis,432505008.0,SNOMED,bacteria,,,,,,,,,,346,,
Staphylococcus lugdunensis,103494005.0,SNOMED,bacteria,,,,,,,,,,347,,
Staphylococcus Pettenkoferi,428731005.0,SNOMED,bacteria,,,,,,,,,,348,,
Staphylococcus saprophyticus,19743000.0,SNOMED,bacteria,,,,,,,,,,349,,
Staphylococcus simulans,52122005.0,SNOMED,bacteria,,,,,,,,,,350,,
Staphylococcus warneri,63550006.0,SNOMED,bacteria,,,,,,,,,,351,,
Stenotrophomonas,115656007.0,SNOMED,bacteria,,,,,,,,,,352,,
Stenotrophomonas maltofilia,113697002.0,SNOMED,bacteria,,,,,,,,,,353,,
Estreptococo,58800005.0,SNOMED,bacteria,,,,,,,,,,354,,
Estreptococcus alfa-hemolítico,60631002.0,SNOMED,bacteria,,,,,,,,,,355,,
Estreptococcus anginosus,44304009.0,SNOMED,bacteria,,,,,,,,,,356,,
Grupo estreptococcus anginosus,415597009.0,SNOMED,bacteria,,,,,,,,,,357,,
Estreptococcus beta-hemolítico,53490009.0,SNOMED,bacteria,,,,,,,,,,358,,
Estreptococcus constellatus,76199005.0,SNOMED,bacteria,,,,,,,,,,359,,
Estreptococcus disgalactiae,40812000.0,SNOMED,bacteria,,,,,,,,,,360,,
Estreptococcus galolyticus,113985000.0,SNOMED,bacteria,,,,,,,,,,361,,
Estreptococcus intermedius,62170002.0,SNOMED,bacteria,,,,,,,,,,362,,
Mitis estreptococo,57997003.0,SNOMED,bacteria,,,,,,,,,,363,,
Estreptococcus oralis,19870004.0,SNOMED,bacteria,,,,,,,,,,364,,
Estreptococcus parasanguinis,113990002.0,SNOMED,bacteria,,,,,,,,,,365,,
Estreptococcus pneumoniae,9861002.0,SNOMED,bacteria,,,,,,,,,,366,,
Estreptococcus pyogenes,80166006.0,SNOMED,bacteria,,,,,,,,,,367,,
Estreptococcus salivarius,39888004.0,SNOMED,bacteria,,,,,,,,,,368,,
Estreptococcus sanguinis,113993000.0,SNOMED,bacteria,,,,,,,,,,369,,
Estreptococcus viridans,31703004.0,SNOMED,bacteria,,,,,,,,,,370,,
Grupo de Streptococcus viridans,31703004.0,SNOMED,bacteria,,,,,,,,,,371,,
Strongyloides stercoralis,42625000.0,SNOMED,"parasite, helminth",,,,,,,,,,372,,
Taenia saginata,61085008.0,SNOMED,"parasite, helminth",,,,,,,,,,373,,
Taenia solio,17966003.0,SNOMED,"parasite, helminth",,,,,,,,,,374,,
Talaromyces Marneffei,71825007.0,SNOMED,fungi,,,,,,,,,,375,,
Togoviridae,129231002.0,SNOMED,virus,,,,,,,,,,376,,
Toxocara canis,88857009.0,SNOMED,"parasite, helminth",,,,,,,,,,377,,
Toxoplasma,61949005.0,SNOMED,"parasite, protozoa",,,,,,,,,,378,,
Toxoplasma gondii,4649006.0,SNOMED,"parasite, protozoa",,,,,,,,,,379,,
Trichinella espiral,16439004.0,SNOMED,"parasite, helminth",,,,,,,,,,380,,
Tricomonas,3764006.0,SNOMED,"parasite, protozoa",,,,,,,,,,381,,
Trichomonas vaginal,22417000.0,SNOMED,"parasite, protozoa",,,,,,,,,,382,,
Trichophyton,88578003.0,SNOMED,fungi,,,,,,,,,,383,,
Trichosporon asahii,243475001.0,SNOMED,fungi,,,,,,,,,,384,,
Trichuris Trichiura,5378007.0,SNOMED,"parasite, helminth",,,,,,,,,,385,,
Tripanosoma,40740003.0,SNOMED,"parasite, protozoa",,,,,,,,,,386,,
Trypanosoma brucei gambiense,20027006.0,SNOMED,"parasite, protozoa",,,,,,,,,,387,,
Trypanosoma brucei rhodesiense,79513002.0,SNOMED,"parasite, protozoa",,,,,,,,,,388,,
Trypanosoma Cruzi,88274000.0,SNOMED,"parasite, protozoa",,,,,,,,,,389,,
Enterococcus resistente a la vancomicina (VRE),113727004.0,SNOMED,bacteria,,,,,,,,,,390,,
Vibrio cholerae,75953000.0,SNOMED,bacteria,,,,,,,,,,391,,
Vibrio parahaemolyticus,11736008.0,SNOMED,bacteria,,,,,,,,,,392,,
Vibrio vulnificus,55905000.0,SNOMED,bacteria,,,,,,,,,,393,,
Virus del Nilo Occidental,57311007.0,SNOMED,virus,,,,,,,,,,394,,
Wuchereria Bancrofti,84925004.0,SNOMED,"parasite, helminth",,,,,,,,,,395,,
Levadura,62093005.0,SNOMED,fungi,,,,,,,,,,396,,
Yersinia pestis,54365000.0,SNOMED,bacteria,,,,,,,,,,397,,
Virus del Zika,50471002.0,SNOMED,virus,,,,,,,,,,398,,
