Form,Section,Variable,Question,Answer Options,Definition,Completion Guideline,Completion Guideline2,Language Speaker Reviewed,Clinical Language Speaker Reviewed
presentación,SÍNTOMAS AL INGRESO: Indicar si se experimentaron desde el inicio de la enfermedad hasta el día de la presentación,adsym_eyedischarg,Secreción ocular,"1, Sí | 0, No | 99, Desconocido","Se define como la secreción de líquidos que van desde transparentes hasta purulentos por el ojo, a menudo indicativa de infección o irritación.",Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la presentación.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,
presentación,SÍNTOMAS AL INGRESO: Indicar si se experimentaron desde el inicio de la enfermedad hasta el día de la presentación,adsym_hazyvision,Visión borrosa/nublada,"1, Sí | 0, No | 99, Desconocido","Se define como la pérdida de agudeza visual, que da lugar a una visión borrosa o distorsionada.",Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la presentación.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,
presentación,SÍNTOMAS AL INGRESO: Indicar si se experimentaron desde el inicio de la enfermedad hasta el día de la presentación,adsym_eyelightsensi,Sensibilidad de los ojos a la luz,"1, Sí | 0, No | 99, Desconocido","Se define como una intolerancia anómala a la luz, que provoca molestias o dolor en los ojos cuando se exponen a una luz intensa.",Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la presentación. ,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,
presentación,SÍNTOMAS AL INGRESO: Indicar si se experimentaron desde el inicio de la enfermedad hasta el día de la presentación,adsym_visdist,Alteración de la visión,"1, Sí | 0, No | 99, Desconocido",Se refiere a una interferencia en la visión normal sin que necesariamente afecte a la agudeza visual.,Indique «Sí» si el paciente ha experimentado esto en cualquier momento desde el inicio de la enfermedad hasta su presentación.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,
presentación,SÍNTOMAS AL INGRESO: Indicar si se experimentaron desde el inicio de la enfermedad hasta el día de la presentación,adsym_blurryvis,Visión borrosa,"1, Sí | 0, No | 99, Desconocido",Se refiere a la falta de nitidez de la visión que provoca la incapacidad de ver detalles finos.,Indique «Sí» si el paciente ha experimentado esto en cualquier momento desde el inicio de la enfermedad hasta su presentación.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,
presentación,SÍNTOMAS AL INGRESO: Indicar si se experimentaron desde el inicio de la enfermedad hasta el día de la presentación,adsym_ocularoth,Otros síntomas oftalmológicos,"1, Sí | 0, No | 99, Desconocido","Se refiere a otros signos y síntomas relacionados con el ojo, no especificados anteriormente.",Indique «Sí» si el paciente ha experimentado esto en cualquier momento desde el inicio de la enfermedad hasta su presentación.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,
presentación,SÍNTOMAS AL INGRESO: Indicar si se experimentaron desde el inicio de la enfermedad hasta el día de la presentación,adsym_ocularoth_spec,Especifique otros síntomas oftalmológicos,,"Se refiere a otros signos y síntomas relacionados con el ojo, no especificados anteriormente.","Si «Sí», especifique otros signos y síntomas oftalmológicos. ","If 'Yes', specify other opthalmological signs and symptoms ",,
presentación,SÍNTOMAS AL INGRESO: Indicar si se experimentaron desde el inicio de la enfermedad hasta el día de la presentación,adsym_ent,"Síntomas en oídos, nariz o garganta","1, Sí | 0, No | 99, Desconocido","Se refiere a signos y síntomas relacionados con el oído, la nariz y la garganta.",Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la presentación.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,
presentación,SÍNTOMAS AL INGRESO: Indicar si se experimentaron desde el inicio de la enfermedad hasta el día de la presentación,adsym_earpain,Dolor de oídos,"1, Sí | 0, No | 99, Desconocido",Se refiere a una sensación dolorosa en el oído.,Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la presentación.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,
presentación,SÍNTOMAS AL INGRESO: Indicar si se experimentaron desde el inicio de la enfermedad hasta el día de la presentación,adsym_tinnitus,Tinnitus,"1, Sí | 0, No | 99, Desconocido",Se refiere a una percepción anómala de los sonidos que experimenta una persona en ausencia de estímulos auditivos.,Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la presentación.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,
presentación,SÍNTOMAS AL INGRESO: Indicar si se experimentaron desde el inicio de la enfermedad hasta el día de la presentación,adsym_unlisted,Otros síntomas,"1, Sí | 0, No | 99, Desconocido",Se refiere a la presencia de un signo o anomalía alternativo no incluido en la lista anterior.,Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la presentación. ,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,
presentación,DETALLES DEL EMBARAZO,preg_pregnant,Embarazo,"1, Sí | 0, No | 99, Desconocido",Se refiere a las mujeres que declaran estar embarazadas en el momento de la consulta y/o han dado positivo en una prueba de embarazo en los días previos a la consulta. ,"Indique «Sí» si la paciente está embarazada en el momento de la presentación. Si la paciente está en edad fértil y no ha dado negativo en una prueba de embarazo, seleccione «Desconocido».","Indicate 'Yes', if the patient is pregnant at presentation. If the patient is of fertile age with no negative pregnancy test select 'Unknown'.  ",,
presentación,DETALLES DEL EMBARAZO,preg_geswek,Semanas de gestación en el momento de la presentación,,Se refiere a la edad gestacional del feto (expresada en semanas). Se puede calcular a partir de la última menstruación de la mujer (LMP) o utilizando la mejor fecha prevista del parto (EDD) basada en la siguiente fórmula: Edad gestacional = (280 - (EDD - Fecha de referencia)). La fecha de referencia es la fecha en la que se intenta determinar la edad gestacional.,Indique la edad gestacional estimada del feto (en semanas).,Indicate the estimated gestational age of the foetus (in weeks).,,
presentación,DETALLES DEL EMBARAZO,preg_postpartum,Posparto (en las 6 semanas posteriores al parto),"1, Sí | 0, No | 99, Desconocido",Se refiere al periodo de tiempo que va desde el final del parto hasta las seis semanas posteriores al parto.,Indique «Sí» si la paciente se encuentra en el posparto (en las 6 semanas posteriores al parto).,"Indicate 'Yes', if the patient is in post-partum period (within 6 weeks of delivery).",,
presentación,DETALLES DEL EMBARAZO,preg_recent1,¿Estaba la paciente embarazada en los <= 21 días anteriores al inicio de los síntomas?,"1, Sí | 0, No | 99, Desconocido","Si no está embarazada en la actualidad, se refiere a si la paciente estuvo embarazada en los 21 días anteriores al inicio de los síntomas.",Indique «Sí» si la paciente estaba embarazada en los 21 días anteriores al inicio de los síntomas.,"Indicate 'Yes, if the patient was pregnant within 21 days of onset of symptoms.",,
presentación,DETALLES DEL EMBARAZO,preg_recent2,¿Estaba la paciente embarazada entre 22 y 42 días después del ingreso?,"1, Sí | 0, No | 99, Desconocido","Si no está embarazada en la actualidad, se refiere a si la paciente estuvo embarazada entre 22 y 42 días antes de la fecha de ingreso.",Indique «Sí» si la paciente estaba embarazada entre 22 y 42 días antes de la fecha de ingreso.,"Indicate 'Yes, if the patient was pregnant wiithin 22-42 days from date of admission.",,
presentación,DETALLES DEL EMBARAZO,preg_bboutc,Resultado del embarazo,"1, Nacimiento vivo | 2, Mortinatal | 4, Aborto espontáneo | 3, Interrupción del embarazo | 5, Muerte neonatal | 99, Desconocido | 88, Otros","Se refiere al resultado de la concepción anterior y del embarazo posterior. El nacimiento vivo se refiere a un feto nacido con vida, con latidos cardíacos o respiración, independientemente de la edad gestacional o de la muerte posterior al nacimiento. El nacimiento sin vida se refiere a la muerte del feto en el útero después de al menos 22 semanas de gestación. La interrupción del embarazo se refiere a la extracción intencionada del feto del útero mediante procedimientos médicos y/o quirúrgicos. La muerte neonatal se refiere a la muerte en los primeros 28 días de vida.",Indique el resultado del embarazo anterior.,Indicate the outcome of the previous pregnancy.,,
presentación,DETALLES DEL EMBARAZO,preg_delvdate,Fecha del parto,,Se refiere a la fecha real del parto.,Introduzca la fecha del parto en formato DD/MM/AAAA.,Enter the date of delivery in DD/MM/YYYY format.,,
presentación,DETALLES DEL EMBARAZO,preg_gesweekout,Semanas de gestación al término del embarazo,,Se refiere a la edad gestacional (en semanas) en el momento del resultado del embarazo (nacimiento vivo/muerte fetal/aborto espontáneo/interrupción del embarazo).,Indique la edad gestacional estimada en semanas.,Indicate the estimated gestational age in weeks.,,
presentación,DETALLES DEL EMBARAZO,preg_bbtest,¿Se ha realizado una prueba al bebé para detectar la infección de interés en la madre?,"1, Sí | 0, No | 99, Desconocido",Se refiere a la prueba realizada al bebé para detectar la infección de interés de la madre.,Indique «Sí» si se ha realizado una prueba al bebé para detectar la infección de la madre en cuestión.,Indicate 'Yes' if the baby was tested for the mother's infection of interest.,,
presentación,DETALLES DEL EMBARAZO,preg_bbresl,Especifique el resultado de la prueba de la infección de interés en la madre,"1, Positivo | 0, Negativo | 99, Desconocido",Se refiere al resultado de la prueba realizada al bebé para detectar la infección de interés de la madre.,Indique el resultado de la prueba.,Indicate the test result.,,
presentación,DETALLES DEL EMBARAZO,preg_bboutc_term,Si se ha interrumpido el embarazo: ¿Cuál fue el motivo?,"1, Interrupción voluntaria del embarazo | 2, Anomalía en la ecografía | 88, Otros | 99, Desconocido",Se refiere a la indicación para la interrupción del embarazo.,Seleccione la opción más adecuada que represente la indicación para la interrupción del embarazo.,Select the most appropriate option which represents the indication for termination of pregnancy.,,
presentación,DETALLES DEL EMBARAZO,preg_bboutc_termreas,Si se ha detectado una anomalía en la ecografía u otra: Especifique el motivo,,Se refiere a la indicación para la interrupción del embarazo. ,"Si se detectan anomalías en la ecografía u otras, especifique la indicación para la interrupción del embarazo.","If ultrasound abnormality or other, specify the indication for termination of pregnancy.",,
presentación,DETALLES DEL EMBARAZO,preg_bboutc_stillb,Si se trata de un natimorto: ¿macerado o fresco?,"1, macerado | 2, fresco | 99, desconocido",El natimorto macerado se refiere a un feto que murió en el útero antes de que comenzara el parto y muestra signos de cambios en los tejidos y la piel. El natimorto fresco se refiere a un feto que no muestra signos de maceración ni cambios degenerativos en el momento del parto. ,Seleccione la opción más adecuada que represente el tipo de muerte fetal. ,Select the most appropriate option which represent the type of sillbirth. ,,
presentación,LACTANTE: MENOR DE 12 MESES,infa_brtwei,Peso al nacer (seleccione las unidades),,,,,,
presentación,LACTANTE: MENOR DE 12 MESES,infa_brtwei_kg,Peso al nacer (kg),,Se refiere al primer peso de un recién nacido obtenido después del nacimiento en kilogramos (kg).,Indique el peso al nacer en kilogramos (kg).,Indicate the birth weight in kilograms (kg).,,
presentación,LACTANTE: MENOR DE 12 MESES,infa_brtwei_lb,Peso al nacer (lb),,Se refiere al primer peso de un recién nacido obtenido después del nacimiento en libras (lb).,Indique el peso al nacer en libras (lb).,Indicate the birth weight in pounds (lb).,,
presentación,LACTANTE: MENOR DE 12 MESES,infa_outcome,Resultado del embarazo,"1, parto a término (>=37 semanas de gestación) | 2, parto prematuro (< 37 semanas de gestación) | 99, desconocido",Se refiere a la edad gestacional (EG) del bebé al nacer. Prematuro se refiere a un bebé nacido antes de las 37 semanas y 0 días de edad gestacional.,Indique «Parto a término» si la edad gestacional (EG) en el momento del parto es >= 37 semanas y «Parto prematuro» si la EG en el momento del parto es < 37 semanas.,Indicate 'Term birth' if gestational age (GA) at delivery >= 37 weeks and 'Preterm birth' if GA at delivery < 37 weeks. ,,
presentación,LACTANTE: MENOR DE 12 MESES,infa_brefed,Lactancia materna,"1, sí, actualmente en lactancia materna | 2, sí, lactancia materna interrumpida | 0, no | 99, desconocido",Se refiere al régimen actual de lactancia materna del bebé.,Indique el estado de lactancia materna del lactante.,Indicate the breastfeeding status of infant.,,
presentación,LACTANTE: MENOR DE 12 MESES,infa_brefedduration,¿Cuánto tiempo duró la lactancia materna? (semanas),,"Se refiere a la duración de la lactancia materna, en semanas, si se interrumpió.","Indique la duración de la lactancia materna, en semanas, si se ha interrumpido.","Indicate the duration of breastfeeding, in weeks, if breastfeeding was discontinued.",,
presentación,LACTANTE: MENOR DE 12 MESES,infa_aprvac,Vacunas adecuadas para la edad/país,"1, Sí | 0, No | 99, Desconocido",Se refiere al estado de vacunación según la edad del bebé y las recomendaciones específicas del país.,Indique «Sí» si el lactante está vacunado adecuadamente para su edad según las recomendaciones específicas del país.,"Indicate 'Yes', if the infant is appropriately vaccinated for age with respect to country-specific recommendations.",,
diario,EVALUACIÓN DIARIA,daily_date,FECHA DE LA EVALUACIÓN,,Indica el día de la recopilación de datos y la toma de muestras (puede no ser la fecha de finalización). Puede tratarse de información retrospectiva en el momento del alta (traslado a otro hospital o fallecimiento en el hospital).,Introduzca la fecha. Utilice el formato DD/MM/AAAA.,Enter the date. Use the format DD/MM/YYYY.,,
diario,EVALUACIÓN DIARIA,asses_lvlcare,Nivel actual de atención,"1, Ambulatorio | 2, Ingresado en planta normal solo para aislamiento | 3, Ingresado en planta normal para cuidados clínicos | 4, Alta dependencia | 5, Ingreso en cuidados intensivos",Se refiere al nivel de atención en la fecha de la evaluación.,Seleccione el nivel de atención más alto en la fecha de la evaluación.,Select the highest level of care on the date of assessment.,,
diario,SIGNOS VITALES Y EVALUACIONES: Registrar el valor más alejado del rango normal entre las 00:00 y 24:00 del día de evaluación,vital_dailydata,¿Introducir los datos de los signos vitales para esta fecha?,"1, Sí | 0, No",Se refiere a los datos de los signos vitales registrados para esta fecha.,"Indique «Sí» si desea registrar los datos de los signos vitales para este día de la evaluación. Si es «Sí», para las siguientes preguntas, a menos que se especifique lo contrario, registre el valor más alejado del rango fisiológico normal registrado entre las 00:00 y las 24:00 horas del día de la evaluación. No se deben incluir los resultados que hayan sido rechazados por el equipo clínico.","Indicate 'Yes', if you want to record vital sign data for this day of assessment. If 'Yes', for the following questions unless otherwise specified, Record the value furthest from the normal physiological range recorded between 00:00 and 24:00 hours on day of assessment. Results that were rejected by the clinical team should not be included.",,
diario,SIGNOS VITALES Y EVALUACIONES: Registrar el valor más alejado del rango normal entre las 00:00 y 24:00 del día de evaluación,vital_highesttem,Temperatura máxima (seleccionar unidades),,Se refiere a la temperatura corporal periférica más alta (rectal si es <3 meses) entre las 00:00 y las 24:00 horas del día de la evaluación.,Seleccione las unidades más adecuadas para la temperatura.,Select the most appropriate units for temperature.,,
diario,SIGNOS VITALES Y EVALUACIONES: Registrar el valor más alejado del rango normal entre las 00:00 y 24:00 del día de evaluación,vital_highesttem_c,Temperatura máxima (°C),,Se refiere a la temperatura corporal periférica más alta (rectal si <3 meses) en grados Celsius (°C) entre las 00:00 y las 24:00 del día de la evaluación.,Introduzca la temperatura corporal periférica más alta (°C) registrada entre las 00:00 y las 24:00 horas del día de la evaluación.,Enter the highest peripheral body temperature (°C) recorded between 00:00 and 24:00 on day of assessment.,,
diario,SIGNOS VITALES Y EVALUACIONES: Registrar el valor más alejado del rango normal entre las 00:00 y 24:00 del día de evaluación,vital_highesttem_f,Temperatura máxima (°F),,Se refiere a la temperatura corporal periférica más alta (rectal si <3 meses) en grados Fahrenheit (°F) entre las 00:00 y las 24:00 del día de la evaluación.,Introduzca la temperatura corporal periférica más alta (°F) registrada entre las 00:00 y las 24:00 horas del día de la evaluación.,Enter the highest peripheral body temperature (°F) recorded between 00:00 and 24:00 on day of assessment.,,
diario,SIGNOS VITALES Y EVALUACIONES: Registrar el valor más alejado del rango normal entre las 00:00 y 24:00 del día de evaluación,vital_hr,FC (latidos/minuto),,Se refiere a la frecuencia cardíaca medida en latidos por minuto. Se puede medir manualmente o mediante monitorización electrónica.,Introduzca la frecuencia cardíaca medida en latidos por minuto. Registre el valor más alejado del rango normal entre las 00:00 y las 24:00 horas del día de la evaluación.,Enter the heart rate measured in beats per minute. Record the value furthest from normal range between 00:00 to 24:00 on day of assessment.,,
diario,SIGNOS VITALES Y EVALUACIONES: Registrar el valor más alejado del rango normal entre las 00:00 y 24:00 del día de evaluación,vital_rr,FR (bpm),,"Se refiere a la frecuencia respiratoria en respiraciones por minuto. Se prefiere la medición manual en lugar de la electrónica siempre que sea posible (esto se consigue contando el número de respiraciones durante un minuto, contando cuántas veces se eleva el pecho durante este periodo de tiempo). Si se observa una frecuencia anormalmente baja y alta, registre la frecuencia anormalmente alta.","Introduzca la frecuencia respiratoria medida en respiraciones por minuto. Registre el valor más alejado del rango normal entre las 00:00 y las 24:00 horas del día de la evaluación. Si se observan frecuencias anormales tanto bajas como altas, registre la frecuencia anormalmente alta.","Enter the respiratory rate measured in breaths per minute. Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. If both abnormal low and high rate observed, record the abnormally high rate.",,
diario,SIGNOS VITALES Y EVALUACIONES: Registrar el valor más alejado del rango normal entre las 00:00 y 24:00 del día de evaluación,vital_systolicbp,PA sistólica (mmHg),,"Se refiere a la presión arterial sistólica de la observación con la presión arterial media más baja (si no se ha calculado la presión arterial media, indique la medición con la presión arterial sistólica más baja). Por ejemplo, si la presión arterial es 120/85 mmHg, introduzca 120 en la sección marcada «PA sistólica».","Introduzca la presión arterial sistólica medida en milímetros de mercurio (mmHg). Registre la presión arterial sistólica de la observación con la presión arterial media (PAM) más baja (si no se ha calculado la presión arterial media, indique la medición con la presión arterial sistólica más baja) que se haya producido entre las 00:00 y las 24:00 horas del día de la evaluación.","Enter the systolic blood pressure measured in millimetres of mercury (mmHg). Record the systolic blood pressure from the observation with the lowest mean arterial pressure (MAP) (if mean arterial pressure has not been calculated, report the measurement with lowest systolic blood pressure) that occurred between 00:00 to 24:00 on day of assessment.",,
diario,SIGNOS VITALES Y EVALUACIONES: Registrar el valor más alejado del rango normal entre las 00:00 y 24:00 del día de evaluación,vital_diastolicbp,PA diastólica (mmHg),,"Se refiere a la presión arterial diastólica de la observación con la presión arterial media más baja (si no se ha calculado la presión arterial media, indique la medición con la presión sistólica más baja). Por ejemplo, si la presión arterial es 120/85 mmHg, introduzca 85 en la sección marcada «PA diastólica».","Introduzca la presión arterial diastólica medida en milímetros de mercurio (mmHg). Registre la presión arterial diastólica de la observación con la presión arterial media (PAM) más baja (si no se ha calculado la presión arterial media, indique la medición con la presión arterial sistólica más baja) que se haya producido entre las 00:00 y las 24:00 horas del día de la evaluación.","Enter the diastolic blood pressure measured in millimetres of mercury (mmHg). Record the diastolic blood pressure from the observation with the lowest mean arterial pressure (MAP) (if mean arterial pressure has not been calculated, report the measurement with lowest systolic blood pressure) that occurred between 00:00 to 24:00 on day of assessment.",,
diario,SIGNOS VITALES Y EVALUACIONES: Registrar el valor más alejado del rango normal entre las 00:00 y 24:00 del día de evaluación,vital_meanbp,Presión arterial media (mmHg),,"La presión arterial media (PAM) puede medirse directamente (mediante un catéter intraarterial) o aproximarse sin un procedimiento invasivo utilizando la siguiente fórmula: presión diastólica más 1/3 de la presión del pulso, donde la presión del pulso es la presión sistólica menos la presión diastólica.",Introduzca la MAP más baja registrada entre las 00:00 y las 24:00 del día de la evaluación.,Enter the lowest recorded MAP that occurred between 00:00 to 24:00 on day of assessment.,,
diario,SIGNOS VITALES Y EVALUACIONES: Registrar el valor más alejado del rango normal entre las 00:00 y 24:00 del día de evaluación,vital_spo2room,Saturación de oxígeno en aire ambiente (sin oxígeno) (%),,"Se refiere a la medición de la relación entre la hemoglobina oxigenada y la hemoglobina total en la sangre, medida en aire ambiente sin apoyo de oxígeno.",Indique la medición de la saturación de oxígeno en aire ambiente sin apoyo de oxígeno.,Indicate the measurement of oxygen saturation at room air with no oxygen support.,,
diario,SIGNOS VITALES Y EVALUACIONES: Registrar el valor más alejado del rango normal entre las 00:00 y 24:00 del día de evaluación,vital_spo2roomhow,¿Cómo se midió la saturación de oxígeno en aire ambiente?,"1, Pulsioximetría | 2, Medición de gases en sangre arterial | 88, Otros | 99, Desconocido",Se refiere al método de medición de la saturación de oxígeno.,Seleccione la opción más adecuada que represente el método de medición de la saturación de oxígeno.,Select the most appropriate option which represents the method of measurement of oxygen saturation.,,
diario,SIGNOS VITALES Y EVALUACIONES: Registrar el valor más alejado del rango normal entre las 00:00 y 24:00 del día de evaluación,vital_o2supp,¿Se administró oxígeno suplementario?,"1, Sí | 0, No | 99, Desconocido",Se refiere al suministro de oxígeno suplementario en el momento del registro anterior de SpO2 (%) más bajo.,Indique «Sí» si se midió la FiO2 junto con la saturación de oxígeno más baja (SpO2) indicada anteriormente.,"Indicate 'Yes', if the FiO2 was measured along-side the lowest oxygen saturation (SpO2) reported above.",,
diario,SIGNOS VITALES Y EVALUACIONES: Registrar el valor más alejado del rango normal entre las 00:00 y 24:00 del día de evaluación,vital_o2supp_type,¿Tipo de oxígeno suplementario?,"1, cánulas nasales | 2, mascarilla | 3, oxígeno nasal de alto flujo | 4, ventilación no invasiva | 5, ventilación invasiva | 6, ECMO/ECLS | 99, desconocido",Se refiere al tipo/modo de suministro de oxígeno suplementario en el momento del registro anterior de SpO2 (%) más bajo.,Seleccione la opción más adecuada que represente el tipo/modo de administración del oxígeno suplementario en el momento del registro anterior de la SpO2 (%) más baja.,"Select the most approproate option which represents the type / mode of delivery for supplemental oxygen at the time of the above, lowest SpO2 (%), recording.",,
diario,SIGNOS VITALES Y EVALUACIONES: Registrar el valor más alejado del rango normal entre las 00:00 y 24:00 del día de evaluación,vital_o2supp_spo2,Saturación de oxígeno con oxígeno suplementario (%),,"Se refiere a la saturación de oxígeno, que puede medirse mediante pulsioximetría o análisis de gases en sangre arterial. Es independiente de la ventilación o la necesidad de oxígeno suplementario.",Introduzca el porcentaje de saturación de oxígeno. Registre el valor más alejado del rango normal entre las 00:00 y las 24:00 del día de la evaluación.,Enter the percentage oxygen saturation. Record the value furthest from normal range between 00:00 to 24:00 on day of assessment.,,
diario,SIGNOS VITALES Y EVALUACIONES: Registrar el valor más alejado del rango normal entre las 00:00 y 24:00 del día de evaluación,vital_o2supp_spo2how,¿Cómo se midió la saturación de oxígeno con oxígeno suplementario?,"1, Pulsioximetría | 2, Medición de gases en sangre arterial | 88, Otros | 99, Desconocido",Se refiere al método de medición de la saturación de oxígeno.,Seleccione la opción más adecuada que represente el método de medición de la saturación de oxígeno.,Select the most appropriate option which represents the method of measurement of oxygen saturation.,,
diario,SIGNOS VITALES Y EVALUACIONES: Registrar el valor más alejado del rango normal entre las 00:00 y 24:00 del día de evaluación,vital_fio2spo2,FiO2 en el momento de la SpO2 más baja (seleccione las unidades),,"La FiO2 puede expresarse como fracción o como porcentaje. Tenga en cuenta que 0,21 y 21 % son equivalentes a la FiO2 del aire ambiente.",Seleccione las unidades más adecuadas para la FiO2.,Select the most appropriate units for FiO2.,,
diario,SIGNOS VITALES Y EVALUACIONES: Registrar el valor más alejado del rango normal entre las 00:00 y 24:00 del día de evaluación,vital_fio2spo2_02110,"FiO2 en el momento de la SpO2 más baja (fracción, 0,21-1,0)",,Se refiere a la fracción de oxígeno inspirado (FiO2) medida en el momento del registro anterior de la saturación de oxígeno más baja (%).,"Introduzca la FiO2 (0,21-1,0) que se midió junto con la saturación de oxígeno más baja (SpO2) indicada anteriormente.",Enter the FiO2 (0.21-1.0) that was measured along-side the lowest oxygen saturation (SpO2) reported above.,,
diario,SIGNOS VITALES Y EVALUACIONES: Registrar el valor más alejado del rango normal entre las 00:00 y 24:00 del día de evaluación,vital_fio2spo2_pcnt,"FiO2 en el momento de la SpO2 más baja (%, 21-100)",,Se refiere a la fracción de oxígeno inspirado (FiO2) medida en el momento del registro anterior de la saturación de oxígeno más baja (%).,Introduzca la FiO2 (21-100 %) que se midió junto con la saturación de oxígeno más baja (SpO2) indicada anteriormente.,Enter the FiO2 (21-100%) that was measured along-side the lowest oxygen saturation (SpO2) reported above.,,
diario,SIGNOS VITALES Y EVALUACIONES: Registrar el valor más alejado del rango normal entre las 00:00 y 24:00 del día de evaluación,vital_fio2spo2_ltr,FiO2 en el momento de la SpO2 más baja (L/min más alto),,Se refiere a la fracción de oxígeno inspirado (FiO2) medida en el momento del registro anterior de la saturación de oxígeno más baja (%).,Introduzca la FiO2 (L/min) que se midió junto con la saturación de oxígeno más baja (SpO2) indicada anteriormente.,Enter the FiO2 (L/min) that was measured along-side the lowest oxygen saturation (SpO2) reported above.,,
diario,SIGNOS VITALES Y EVALUACIONES: Registrar el valor más alejado del rango normal entre las 00:00 y 24:00 del día de evaluación,vital_capillaryr,Tiempo de relleno capilar >2 segundos,"1, Sí | 0, No | 99, Desconocido","El tiempo de relleno capilar se mide presionando el esternón con un dedo o el pulgar durante cinco segundos hasta que la piel subyacente se vuelve blanca y, a continuación, anotando el tiempo en segundos que tarda en recuperar el color una vez que se libera la presión. ",Indique «Sí» si el tiempo de relleno capilar fue superior a 2 segundos en cualquier momento entre las 00:00 y las 24:00 del día de la evaluación.,"Indicate 'Yes', if the capillary refill time was greater than 2 seconds at any time between 00:00 to 24:00 on day of assessment.",,
diario,SIGNOS VITALES Y EVALUACIONES: Registrar el valor más alejado del rango normal entre las 00:00 y 24:00 del día de evaluación,vital_avpu,ACVPU,"1, alerta | 5, confusión | 2, verbal | 3, dolor | 4, no responde",Se refiere al sistema de puntuación del estado de conciencia: alerta; confuso (de nueva aparición o empeoramiento); responde a la voz; responde al dolor; no responde.,"Seleccione la opción única que corresponda a la condición menos receptiva del paciente entre las 00:00 y las 24:00 del día de la evaluación. Si el paciente está sedado el día de la evaluación, registre el valor antes de la sedación.",Select the single option corresponding to the least responsive condition of the patient between 00:00 to 24:00 on day of assessment. If the patient is being sedated on the day of assessment record the value before the sedation.,,
diario,SIGNOS VITALES Y EVALUACIONES: Registrar el valor más alejado del rango normal entre las 00:00 y 24:00 del día de evaluación,vital_gcs,Escala de coma de Glasgow (GCS / 15) ,,La escala de coma de Glasgow es un sistema de puntuación del estado de conciencia. Se puntúa sobre 15 y requiere una evaluación de la capacidad de respuesta a los estímulos. Puntuación de la escala de coma de Glasgow: https://www.glasgowcomascale.org/downloads/GCS-Assessment-Aid-English.pdf?v=3,"Introduzca la puntuación GCS más baja registrada entre las 00:00 y las 24:00 del día de la evaluación. En el caso de pacientes intubados y pacientes con traqueotomía no fenestrada, asigne 1 punto al componente de voz y calcule el total como de costumbre. No se pueden introducir en la base de datos sufijos como «t» para traqueotomía. Si el paciente está sedado el día de la evaluación, estos parámetros deben corresponder a los valores observados antes de la sedación.","Enter the lowest GCS recorded between 00:00 to 24:00 on day of assessment. For intubated patients and patients with a non-fenestrated tracheostomy, give 1 point for the voice component and calculate the total as usual. Suffixes such as 't' for tracheostomy cannot be entered on to the database. If the patient is sedated on the day of assessment these parameters should correspond to the values observed before sedation.",,
diario,SIGNOS VITALES Y EVALUACIONES: Registrar el valor más alejado del rango normal entre las 00:00 y 24:00 del día de evaluación,vital_rass,Escala de agitación-sedación de Richmond (RASS),,"La Escala de Agitación-Sedación de Richmond (RASS) es una escala médica que se utiliza para medir el nivel de agitación o sedación de una persona. Va de -5 a +4, donde 0 se refiere a un paciente «alerta y tranquilo» que presta atención de forma espontánea.","Si se realiza, introduzca el valor más bajo (entre -5 y +4) entre las 00:00 y las 24:00 horas del día de la evaluación.","If performed, enter the lowest value (between -5 and +4) between 00:00 to 24:00 hours on day of assessment.",,
diario,SIGNOS VITALES Y EVALUACIONES: Registrar el valor más alejado del rango normal entre las 00:00 y 24:00 del día de evaluación,vital_urineflow,Diuresis (ml/24 horas),,"Se refiere a la cantidad de orina que ha producido el paciente en un periodo de 24 horas, concretamente en la fecha de la evaluación. Esto puede medirse, por ejemplo, mediante el uso de un catéter urinario o estimándose.",Registre la diuresis del paciente (en ml/24 horas) durante el día de la evaluación.,Record the patient's urine output (in ml/24hours) over the day of assessment,,
