Microorganism,Code,Library,Type,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,preset_Recommended Outcomes_Dengue,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Sporothrix schenckii,32662000,SNOMED,fungi,,,,,,,,,,,337,,
Estafilococo,65119002,SNOMED,bacteria,,,,,,,,,,,338,,
Estafilococo aureus,3092008,SNOMED,bacteria,,,,,,,,,,,339,,
Estafilococo de la cabeza,40347003,SNOMED,bacteria,,,,,,,,,,,340,,
Staphylococcus caprae,76969000,SNOMED,bacteria,,,,,,,,,,,341,,
Estafilococo cohnii,66872005,SNOMED,bacteria,,,,,,,,,,,342,,
Estafilococo epidermidis,60875001,SNOMED,bacteria,,,,,,,,,,,343,,
Estafilococo haemolítico,83452006,SNOMED,bacteria,,,,,,,,,,,344,,
Estafilococo hominis,44827007,SNOMED,bacteria,,,,,,,,,,,345,,
Estafilococo hominis hominis,432505008,SNOMED,bacteria,,,,,,,,,,,346,,
Staphylococcus lugdunensis,103494005,SNOMED,bacteria,,,,,,,,,,,347,,
Staphylococcus pettenkoferi,428731005,SNOMED,bacteria,,,,,,,,,,,348,,
Staphylococcus saprophyticus,19743000,SNOMED,bacteria,,,,,,,,,,,349,,
Estafilococo simulans,52122005,SNOMED,bacteria,,,,,,,,,,,350,,
estafilococo warneri,63550006,SNOMED,bacteria,,,,,,,,,,,351,,
estenotrofomonas,115656007,SNOMED,bacteria,,,,,,,,,,,352,,
Stenotrophomonas maltofilia,113697002,SNOMED,bacteria,,,,,,,,,,,353,,
Estreptococo,58800005,SNOMED,bacteria,,,,,,,,,,,354,,
Streptococcus alfa-hemolítico,60631002,SNOMED,bacteria,,,,,,,,,,,355,,
estreptococo anginosus,44304009,SNOMED,bacteria,,,,,,,,,,,356,,
Grupo Streptococcus anginosus,415597009,SNOMED,bacteria,,,,,,,,,,,357,,
Estreptococo beta-hemolítico,53490009,SNOMED,bacteria,,,,,,,,,,,358,,
Estreptococo constellatus,76199005,SNOMED,bacteria,,,,,,,,,,,359,,
Streptococcus disgalactiae,40812000,SNOMED,bacteria,,,,,,,,,,,360,,
Estreptococo gallolítico,113985000,SNOMED,bacteria,,,,,,,,,,,361,,
Estreptococo intermedio,62170002,SNOMED,bacteria,,,,,,,,,,,362,,
estreptococo mitis,57997003,SNOMED,bacteria,,,,,,,,,,,363,,
Estreptococo oral,19870004,SNOMED,bacteria,,,,,,,,,,,364,,
Streptococcus parasanguinis,113990002,SNOMED,bacteria,,,,,,,,,,,365,,
Estreptococo neumonía,9861002,SNOMED,bacteria,,,,,,,,,,,366,,
Estreptococo pyogenes,80166006,SNOMED,bacteria,,,,,,,,,,,367,,
Estreptococo salivario,39888004,SNOMED,bacteria,,,,,,,,,,,368,,
Estreptococo sanguinis,113993000,SNOMED,bacteria,,,,,,,,,,,369,,
Estreptococo viridans,31703004,SNOMED,bacteria,,,,,,,,,,,370,,
Grupo Streptococcus viridans,31703004,SNOMED,bacteria,,,,,,,,,,,371,,
Strongyloides stercoralis,42625000,SNOMED,"parasite, helminth",,,,,,,,,,,372,,
Taenia saginata,61085008,SNOMED,"parasite, helminth",,,,,,,,,,,373,,
Tenia solium,17966003,SNOMED,"parasite, helminth",,,,,,,,,,,374,,
Talaromyces marneffei,71825007,SNOMED,fungi,,,,,,,,,,,375,,
Togoviridae,129231002,SNOMED,virus,,,,,,,,,,,376,,
toxocara canis,88857009,SNOMED,"parasite, helminth",,,,,,,,,,,377,,
toxoplasma,61949005,SNOMED,"parasite, protozoa",,,,,,,,,,,378,,
Toxoplasma gondii,4649006,SNOMED,"parasite, protozoa",,,,,,,,,,,379,,
Trichinella espiralis,16439004,SNOMED,"parasite, helminth",,,,,,,,,,,380,,
Tricomonas,3764006,SNOMED,"parasite, protozoa",,,,,,,,,,,381,,
Trichomonas vaginalis,22417000,SNOMED,"parasite, protozoa",,,,,,,,,,,382,,
Tricófito,88578003,SNOMED,fungi,,,,,,,,,,,383,,
Trichosporon asahii,243475001,SNOMED,fungi,,,,,,,,,,,384,,
Trichuris trichiura,5378007,SNOMED,"parasite, helminth",,,,,,,,,,,385,,
tripanosoma,40740003,SNOMED,"parasite, protozoa",,,,,,,,,,,386,,
Trypanosoma brucei gambiense,20027006,SNOMED,"parasite, protozoa",,,,,,,,,,,387,,
Trypanosoma brucei rhodesiense,79513002,SNOMED,"parasite, protozoa",,,,,,,,,,,388,,
tripanosoma cruzi,88274000,SNOMED,"parasite, protozoa",,,,,,,,,,,389,,
Enterococo resistente a la vancomicina (ERV),113727004,SNOMED,bacteria,,,,,,,,,,,390,,
Vibrio cholerae,75953000,SNOMED,bacteria,,,,,,,,,,,391,,
Vibrio parahaemolyticus,11736008,SNOMED,bacteria,,,,,,,,,,,392,,
Vibrio vulnificus,55905000,SNOMED,bacteria,,,,,,,,,,,393,,
Virus del Nilo Occidental,57311007,SNOMED,virus,,,,,,,,,,,394,,
Wuchereria bancrofti,84925004,SNOMED,"parasite, helminth",,,,,,,,,,,395,,
Levadura,62093005,SNOMED,fungi,,,,,,,,,,,396,,
Yersinia pestis,54365000,SNOMED,bacteria,,,,,,,,,,,397,,
virus zika,50471002,SNOMED,virus,,,,,,,,,,,398,,
